Term,Type
Colgate-Palmolive,S&P500
Eaton Corporation,S&P500
Estee Lauder Cos.,S&P500
Eversource Energy,S&P500
Exxon Mobil Corp.,S&P500
FedEx Corporation,S&P500
Helmerich & Payne,S&P500
Interpublic Group,S&P500
Johnson & Johnson,S&P500
Lilly (Eli) & Co.,S&P500
Micron Technology,S&P500
Mohawk Industries,S&P500
Priceline.com Inc,S&P500
Progressive Corp.,S&P500
Quest Diagnostics,S&P500
Schlumberger Ltd.,S&P500
Texas Instruments,S&P500
Wyndham Worldwide,S&P500
Royal Dutch Shell,LargestOil
Royal Dutch Shell,LargestChem
Sumitomo Chemical,LargestChem
Evonik Industries,LargestChem
Indorama Ventures,LargestChem
Royal Dutch Shell,LargestComp
AmerisourceBergen,LargestComp
Hoffmann-La Roche,LargeEUManu
Heidelberg Cement,LargeEUManu
Reckitt Benckiser,LargeEUManu
Delphi Automotive,LargeEUManu
Novolipetsk Steel,LargeEUManu
Dell Technologies,LargeIT
Microsoft Research,Manual
3M Pharmaceuticals,Manual
Panacea Biotec Ltd,Pharma
Par Pharmaceutical,Pharma
Pierre Fabre Group,Pharma
Piramal Healthcare,Pharma
STADA Arzneimittel,Pharma
Sun Pharmaceutical,Pharma
Advance Auto Parts,S&P500
Apache Corporation,S&P500
Berkshire Hathaway,S&P500
Brown-Forman Corp.,S&P500
CenterPoint Energy,S&P500
Cintas Corporation,S&P500
The Clorox Company,S&P500
Darden Restaurants,S&P500
Devon EnergyÿCorp.,S&P500
Equity Residential,S&P500
Franklin Resources,S&P500
Harris Corporation,S&P500
Hormel Foods Corp.,S&P500
IDEXX Laboratories,S&P500
Ingersoll-Rand PLC,S&P500
Marathon Oil Corp.,S&P500
Marathon Petroleum,S&P500
The Mosaic Company,S&P500
News Corp. Class A,S&P500
News Corp. Class B,S&P500
Nvidia Corporation,S&P500
Roper Technologies,S&P500
SBA Communications,S&P500
Seagate Technology,S&P500
Skyworks Solutions,S&P500
Southwest Airlines,S&P500
State Street Corp.,S&P500
TJX Companies Inc.,S&P500
Waters Corporation,S&P500
Weyerhaeuser Corp.,S&P500
Marathon Petroleum,LargestOil
Hellenic Petroleum,LargestOil
Yara International,LargestChem
Shin-Etsu Chemical,LargestChem
Berkshire Hathaway,LargestComp
Ford Motor Company,LargestComp
Schneider Electric,LargeEUManu
Seagate Technology,LargeEUManu
Yara International,LargeEUManu
Tyco International,LargeEUManu
varun technologies,LargeIT
Abbott Laboratories,Pharma
Acorda Therapeutics,Pharma
Ego Pharmaceuticals,Pharma
Gedeon Richter Ltd.,Pharma
G.F. Harvey Company,Pharma
USV Private Limited,Pharma
Abbott Laboratories,S&P500
Activision Blizzard,S&P500
Alliant Energy Corp,S&P500
American Express Co,S&P500
Avery Dennison Corp,S&P500
Centene Corporation,S&P500
Consolidated Edison,S&P500
Envision Healthcare,S&P500
Extra Space Storage,S&P500
Fifth Third Bancorp,S&P500
Goldman Sachs Group,S&P500
The Hershey Company,S&P500
Illinois Tool Works,S&P500
International Paper,S&P500
IQVIAÿHoldings Inc.,S&P500
O'Reilly Automotive,S&P500
Patterson Companies,S&P500
Synchrony Financial,S&P500
T. Rowe Price Group,S&P500
United Technologies,S&P500
Chevron Corporation,LargestOil
Reliance Industries,LargestOil
Enterprise Products,LargestOil
Hindustan Petroleum,LargestOil
Mitsubishi Chemical,LargestChem
Reliance Industries,LargestChem
PTT Global Chemical,LargestChem
Samsung Electronics,LargestComp
Samsung Electronics,LargeIT
Lubrizol Corporation,Manual
Baxter International,Pharma
Boehringer-Ingelheim,Pharma
Bristol-Myers Squibb,Pharma
Concordia Healthcare,Pharma
Endo Pharmaceuticals,Pharma
MannKind Corporation,Pharma
Ranbaxy Laboratories,Pharma
Servier Laboratories,Pharma
Teva Pharmaceuticals,Pharma
Taro Pharmaceuticals,Pharma
Unichem Laboratories,Pharma
Alaska Air Group Inc,S&P500
Alphabet Inc Class A,S&P500
Alphabet Inc Class C,S&P500
Ameriprise Financial,S&P500
"Analog Devices, Inc.",S&P500
Bank of America Corp,S&P500
Bristol-Myers Squibb,S&P500
Cardinal HealthÿInc.,S&P500
Cincinnati Financial,S&P500
Constellation Brands,S&P500
The Cooper Companies,S&P500
Delta Air LinesÿInc.,S&P500
Edwards Lifesciences,S&P500
Global Payments Inc.,S&P500
Grainger (W.W.) Inc.,S&P500
Honeywell Int'l Inc.,S&P500
JPMorgan Chase & Co.,S&P500
Kansas City Southern,S&P500
Microchip Technology,S&P500
Northern Trust Corp.,S&P500
Occidental Petroleum,S&P500
Prudential Financial,S&P500
Quanta Services Inc.,S&P500
TE Connectivity Ltd.,S&P500
Under ArmourÿClass A,S&P500
Under ArmourÿClass C,S&P500
"United Rentals, Inc.",S&P500
Vornado Realty Trust,S&P500
Wec Energy Group Inc,S&P500
Willis Towers Watson,S&P500
Anheuser-Busch InBev,LargeEUManu
Rolls-Royce Group plc,Manual
Elder Pharmaceuticals,Pharma
Eli Lilly and Company,Pharma
Emergent BioSolutions,Pharma
Galderma Laboratories,Pharma
Hikma Pharmaceuticals,Pharma
Ionis Pharmaceuticals,Pharma
Salix Pharmaceuticals,Pharma
Sigma Pharmaceuticals,Pharma
Zandu Pharmaceuticals,Pharma
Alliance Data Systems,S&P500
American Tower Corp A,S&P500
Applied Materials Inc,S&P500
Capital One Financial,S&P500
Everest ReÿGroup Ltd.,S&P500
Flowserve Corporation,S&P500
Freeport-McMoRan Inc.,S&P500
Host Hotels & Resorts,S&P500
Huntington Bancshares,S&P500
Lockheed Martin Corp.,S&P500
Michael Kors Holdings,S&P500
Norwegian Cruise Line,S&P500
Pinnacle West Capital,S&P500
Range Resources Corp.,S&P500
Republic Services Inc,S&P500
Total System Services,S&P500
United Parcel Service,S&P500
Waste Management Inc.,S&P500
Acadia Pharmaceuticals,Pharma
Emcure Pharmaceuticals,Pharma
Fresenius Medical Care,Pharma
Interphil Laboratories,Pharma
Square Pharmaceuticals,Pharma
Turing Pharmaceuticals,Pharma
Vertex Pharmaceuticals,Pharma
AmerisourceBergen Corp,S&P500
Cadence Design Systems,S&P500
Charter Communications,S&P500
Chipotle Mexican Grill,S&P500
Costco Wholesale Corp.,S&P500
Goodyear Tire & Rubber,S&P500
Mid-America Apartments,S&P500
Mondelez International,S&P500
Norfolk Southern Corp.,S&P500
Northrop Grumman Corp.,S&P500
PNC Financial Services,S&P500
Stanley Black & Decker,S&P500
Tractor Supply Company,S&P500
Varian Medical Systems,S&P500
Verizon Communications,S&P500
Zimmer Biomet Holdings,S&P500
Indian Oil Corporation,LargestOil
Imperial Tobacco Group,LargeEUManu
Alexion Pharmaceuticals,Pharma
BioMarin Pharmaceutical,Pharma
Dawakhana Shifaul Amraz,Pharma
Ferring Pharmaceuticals,Pharma
Incepta Pharmaceuticals,Pharma
NovaBay Pharmaceuticals,Pharma
Torrent Pharmaceuticals,Pharma
Veloxis Pharmaceuticals,Pharma
Wallace Pharmaceuticals,Pharma
Akamai Technologies Inc,S&P500
Alexion Pharmaceuticals,S&P500
American Airlines Group,S&P500
American Electric Power,S&P500
Anadarko Petroleum Corp,S&P500
Coca-Cola Companyÿ(The),S&P500
Dr Pepper Snapple Group,S&P500
Intuitive Surgical Inc.,S&P500
Leucadia National Corp.,S&P500
Motorola Solutions Inc.,S&P500
Newfield Exploration Co,S&P500
Polo Ralph Lauren Corp.,S&P500
Regions Financial Corp.,S&P500
The Walt Disney Company,S&P500
China Construction Bank,LargestComp
Bayer Schering Pharma AG,Pharma
Dr. Reddy's Laboratories,Pharma
Glenmark Pharmaceuticals,Pharma
Intas Biopharmaceuticals,Pharma
Serum Institute of India,Pharma
Agilent Technologies Inc,S&P500
C. H. Robinson Worldwide,S&P500
Citizens Financial Group,S&P500
Digital RealtyÿTrust Inc,S&P500
Emerson Electric Company,S&P500
Expeditors International,S&P500
Jacobs Engineering Group,S&P500
Rockwell Automation Inc.,S&P500
Simon Property Group Inc,S&P500
Thermo Fisher Scientific,S&P500
United Health Group Inc.,S&P500
Walgreens Boots Alliance,S&P500
Air Products & Chemicals,LargestChem
China National Petroleum,LargestComp
British American Tobacco,LargeEUManu
Associated British Foods,LargeEUManu
Avella Specialty Pharmacy,Pharma
Canadian Plasma Resources,Pharma
"The Cathay Drug Co., Inc.",Pharma
Chugai Pharmaceutical Co.,Pharma
Dainippon Sumitomo Pharma,Pharma
Diffusion Pharmaceuticals,Pharma
F. Hoffmann?La Roche Ltd.,Pharma
Otsuka Pharmaceutical Co.,Pharma
Peregrine Pharmaceuticals,Pharma
Regeneron Pharmaceuticals,Pharma
Takeda Pharmaceutical Co.,Pharma
Archer-Daniels-Midland Co,S&P500
Arthur J. Gallagher & Co.,S&P500
Automatic Data Processing,S&P500
Baxter International Inc.,S&P500
Brighthouse Financial Inc,S&P500
Intercontinental Exchange,S&P500
Intl Flavors & Fragrances,S&P500
Martin Marietta Materials,S&P500
MGM Resorts International,S&P500
People's United Financial,S&P500
Pioneer Natural Resources,S&P500
Principal Financial Group,S&P500
Realty Income Corporation,S&P500
Robert Half International,S&P500
Chevron Phillips Chemical,LargestChem
Chiesi Farmaceutici S.p.A.,Pharma
Eskayef Bangladesh Limited,Pharma
"Vion Pharmaceuticals, Inc.",Pharma
Advanced Micro Devices Inc,S&P500
"Baker Hughes, a GE Company",S&P500
CF Industries Holdings Inc,S&P500
Charles Schwab Corporation,S&P500
Discovery Communications-A,S&P500
Discovery Communications-C,S&P500
"Essex Property Trust, Inc.",S&P500
Hartford Financial Svc.Gp.,S&P500
Hewlett Packard Enterprise,S&P500
Iron Mountain Incorporated,S&P500
Newmont Mining Corporation,S&P500
Vertex Pharmaceuticals Inc,S&P500
Hewlett Packard Enterprise,LargeIT
Alembic Pharmaceuticals Ltd,Pharma
Bargn Farmaceutici Phils Co,Pharma
Beximco Pharmaceuticals Ltd,Pharma
Ortho-McNeil Pharmaceutical,Pharma
"AvalonBay Communities, Inc.",S&P500
Discover Financial Services,S&P500
L-3 Communications Holdings,S&P500
National Oilwell Varco Inc.,S&P500
Philip Morris International,S&P500
Regency Centers Corporation,S&P500
Royal Caribbean Cruises Ltd,S&P500
United Continental Holdings,S&P500
China National Offshore Oil,LargestOil
Advanced Chemical Industries,Pharma
Fabre-Kramer Pharmaceuticals,Pharma
Mallinckrodt Pharmaceuticals,Pharma
Air Products & Chemicals Inc,S&P500
Molson Coors Brewing Company,S&P500
Public Serv. Enterprise Inc.,S&P500
Raymond James Financial Inc.,S&P500
The Travelers Companies Inc.,S&P500
Kuwait Petroleum Corporation,LargestOil
National Iranian Oil Company,LargestOil
Institute for OneWorld Health,Pharma
Affiliated Managers Group Inc,S&P500
Hilton WorldwideÿHoldings Inc,S&P500
Huntington Ingalls Industries,S&P500
J. B. Hunt Transport Services,S&P500
Janssen PharmaceuticaÿProducts,Pharma
Cognizant Technology Solutions,S&P500
Fortune Brands Home & Security,S&P500
General Growth Properties Inc.,S&P500
Johnson Controls International,S&P500
China Construction Engineering,LargestComp
Federal Realty Investment Trust,S&P500
International Business Machines,S&P500
"Universal Health Services, Inc.",S&P500
American Water Works Company Inc,S&P500
Crown Castle International Corp.,S&P500
Packaging Corporation of America,S&P500
Twenty-First Century Fox Class A,S&P500
Twenty-First Century Fox Class B,S&P500
Apartment Investment & Management,S&P500
The Bank of New York Mellon Corp.,S&P500
Scripps Networks Interactive Inc.,S&P500
Pharmaceutical Product Development,Pharma
"American International Group, Inc.",S&P500
