Term,Type
TY HAFAN,CharityList
AFRIKIDS,CharityList
ACTIONAID,CharityList
SUE RYDER,CharityList
CRISIS UK,CharityList
ASTHMA UK,CharityList
LIFE 2009,CharityList
STONYHURST,CharityList
DOGS TRUST,CharityList
BARNARDO'S,CharityList
MUSLIM AID,CharityList
SAMARITANS,CharityList
EVERYCHILD,CharityList
LIVABILITY,CharityList
FAIRBRIDGE,CharityList
ETHIOPIAID,CharityList
FEBA RADIO,CharityList
BIBLELANDS,CharityList
CROSSLINKS,CharityList
QUESTSCOPE,CharityList
OM ICT LTD,CharityList
SEND A COW,CharityList
BASICNEEDS,CharityList
JEWISH CARE,CharityList
YARM SCHOOL,CharityList
YOUTHNET UK,CharityList
TEACH FIRST,CharityList
JESUS HOUSE,CharityList
ISLAMIC AID,CharityList
GLORY HOUSE,CharityList
MUSLIM HANDS,CharityList
TATE MEMBERS,CharityList
ACTIVE LUTON,CharityList
ISLAMIC HELP,CharityList
PANOS LONDON,CharityList
CTVC LIMITED,CharityList
ICAN CHARITY,CharityList
MARTIN HOUSE,CharityList
VIVA NETWORK,CharityList
BUILD AFRICA,CharityList
THE PLACE2BE,CharityList
M.G.S. TRUST,CharityList
EMIH LIMITED,CharityList
AMABRILL LTD,CharityList
RUGBY SCHOOL,CharityList
CHRISTIAN AID,CharityList
THE CUP TRUST,CharityList
BARNABAS FUND,CharityList
HOME-START UK,CharityList
IMPETUS TRUST,CharityList
LONIA LIMITED,CharityList
STREET LEAGUE,CharityList
WATTS GALLERY,CharityList
THE HALO TRUST,CharityList
DUCHESNE TRUST,CharityList
WELLCOME TRUST,CharityList
CHRIST EMBASSY,CharityList
HEALTH LIMITED,CharityList
MHA CARE GROUP,CharityList
DESIGN COUNCIL,CharityList
YESAMACH LEVAV,CharityList
ARTHRITIS CARE,CharityList
CRAFTS COUNCIL,CharityList
RUSKIN COLLEGE,CharityList
VICTIM SUPPORT,CharityList
TRENT VINEYARD,CharityList
THE LIND TRUST,CharityList
WORLD VISION UK,CharityList
HELP FOR HEROES,CharityList
THE ALICE TRUST,CharityList
CATS PROTECTION,CharityList
METHODIST HOMES,CharityList
SUMMARY LIMITED,CharityList
ALDEBURGH MUSIC,CharityList
SCRIPTURE UNION,CharityList
MOHIUDDIN TRUST,CharityList
TRINITY HOSPICE,CharityList
THE CHURCH ARMY,CharityList
TATE FOUNDATION,CharityList
SHAARE ZEDEK UK,CharityList
NEWBOLD COLLEGE,CharityList
CHARITY PROJECTS,CharityList
SOUTHBANK CENTRE,CharityList
SHELTERBOX TRUST,CharityList
UNITED SYNAGOGUE,CharityList
SHELL FOUNDATION,CharityList
CHRISTIAN VISION,CharityList
CUTTY SARK TRUST,CharityList
PRACTICAL ACTION,CharityList
THE RAMC CHARITY,CharityList
SKILLS ACTIVE UK,CharityList
CENTREPOINT SOHO,CharityList
THE FOREST TRUST,CharityList
PHILHARMONIA LTD,CharityList
ST ANN'S HOSPICE,CharityList
HF TRUST LIMITED,CharityList
MISSIONFISH - UK,CharityList
UPPINGHAM SCHOOL,CharityList
EDF ENERGY TRUST,CharityList
THE HADLEY TRUST,CharityList
ST PAUL'S SCHOOL,CharityList
ONE WORLD ACTION,CharityList
SUSTRANS LIMITED,CharityList
HEYTHROP COLLEGE,CharityList
THE STORY MUSEUM,CharityList
FARLEIGH HOSPICE,CharityList
COMMUNITY ACTION,CharityList
GRACE FOUNDATION,CharityList
ST GILES HOSPICE,CharityList
TONBRIDGE SCHOOL,CharityList
THE MARCELA TRUST,CharityList
YOUTH SPORT TRUST,CharityList
THE GRAND CHARITY,CharityList
BLIND VETERANS UK,CharityList
NIGHTINGALE HOUSE,CharityList
KEEP BRITAIN TIDY,CharityList
HELP THE HOSPICES,CharityList
NORTH MUSIC TRUST,CharityList
ECHOES OF SERVICE,CharityList
THE SEQUOIA TRUST,CharityList
RIDERS FOR HEALTH,CharityList
WEC INTERNATIONAL,CharityList
THE VENTURE TRUST,CharityList
CHURCH URBAN FUND,CharityList
CAUDWELL CHILDREN,CharityList
THE MESSAGE TRUST,CharityList
CANCER RESEARCH UK,CharityList
THE SALVATION ARMY,CharityList
THE WOODLAND TRUST,CharityList
THE PRINCE'S TRUST,CharityList
THE SMILE TRAIN UK,CharityList
THE PARGITER TRUST,CharityList
NORWOOD RAVENSWOOD,CharityList
UK BIOBANK LIMITED,CharityList
BREAST CANCER CARE,CharityList
THE MONUMENT TRUST,CharityList
HAIG HOUSING TRUST,CharityList
KIDNEY RESEARCH UK,CharityList
EURO CHARITY TRUST,CharityList
RIBA TRUST LIMITED,CharityList
KEECH HOSPICE CARE,CharityList
OXFORD RUSSIA FUND,CharityList
THE CAMBODIA TRUST,CharityList
THE LANDMARK TRUST,CharityList
ST PETER'S HOSPICE,CharityList
THE MYTON HOSPICES,CharityList
THAMES HOSPICECARE,CharityList
ST GEMMA'S HOSPICE,CharityList
GVEP INTERNATIONAL,CharityList
ST EDWARD'S SCHOOL,CharityList
COEXIST FOUNDATION,CharityList
MEDWAY YOUTH TRUST,CharityList
THE MOTHERS' UNION,CharityList
THE ONE FOUNDATION,CharityList
ALZHEIMER'S SOCIETY,CharityList
COMPTON VERNEY FUND,CharityList
THE SAID FOUNDATION,CharityList
SAVE CHINA'S TIGERS,CharityList
OPERA NORTH LIMITED,CharityList
ACTION FOR CHILDREN,CharityList
LEIGHTON PARK TRUST,CharityList
NORWOOD SCHOOLS LTD,CharityList
THE MARY ROSE TRUST,CharityList
WYCLIFFE UK LIMITED,CharityList
WORLD HORSE WELFARE,CharityList
ALPHA INTERNATIONAL,CharityList
MAGEN DAVID ADOM UK,CharityList
ANTHONY NOLAN TRUST,CharityList
ANA LEAF FOUNDATION,CharityList
WHITECHAPEL GALLERY,CharityList
THE HOLBURNE MUSEUM,CharityList
SHOOTING STAR CHASE,CharityList
REPTON SCHOOL TRUST,CharityList
CHEVRAS MO'OZ LADOL,CharityList
CARE FOR THE FAMILY,CharityList
ANIMAL HEALTH TRUST,CharityList
THE BUPA FOUNDATION,CharityList
NEW COVENANT CHURCH,CharityList
CRIMESTOPPERS TRUST,CharityList
NORTH DEVON HOSPICE,CharityList
THE ASHGATE HOSPICE,CharityList
THE APAX FOUNDATION,CharityList
ACTION ON ADDICTION,CharityList
SUSSEX CENTRAL YMCA,CharityList
THE DONKEY SANCTUARY,CharityList
SHEFFIELD CITY TRUST,CharityList
THE REECE FOUNDATION,CharityList
ROYAL MENCAP SOCIETY,CharityList
CAMFED INTERNATIONAL,CharityList
THE ANGEL FOUNDATION,CharityList
KEEPING KIDS COMPANY,CharityList
TEENAGE CANCER TRUST,CharityList
LEEDS DIOCESAN TRUST,CharityList
EZER V' HATZALAH LTD,CharityList
THE DRINKAWARE TRUST,CharityList
JNF CHARITABLE TRUST,CharityList
RESTLESS DEVELOPMENT,CharityList
THE MACFARLANE TRUST,CharityList
ROSE BRUFORD COLLEGE,CharityList
WORLD MISSION AGENCY,CharityList
COPE CHILDRENS TRUST,CharityList
ASCB CHARITABLE FUND,CharityList
GLOBAL PARTNERS (UK),CharityList
THE PILGRIMS' SCHOOL,CharityList
THE VINDOLANDA TRUST,CharityList
FOCUS LEARNING TRUST,CharityList
BROADWALL FOUNDATION,CharityList
THE JABBS FOUNDATION,CharityList
HOSPICE IN THE WEALD,CharityList
MORESHET HATORAH LTD,CharityList
NORTH LONDON HOSPICE,CharityList
MIDLANDS ARTS CENTRE,CharityList
THE 2SIMPLE TRUST UK,CharityList
DEPAUL INTERNATIONAL,CharityList
THE CHILDREN'S TRUST,CharityList
BEDFORD SCHOOL TRUST,CharityList
AGAPE MINISTRIES LTD,CharityList
Y CARE INTERNATIONAL,CharityList
THE FOYER FEDERATION,CharityList
RAINBOW FAMILY TRUST,CharityList
THE SERPENTINE TRUST,CharityList
SWIMATHON FOUNDATION,CharityList
PLAN INTERNATIONAL UK,CharityList
ARTHRITIS RESEARCH UK,CharityList
THE TENNIS FOUNDATION,CharityList
THE SCOUT ASSOCIATION,CharityList
THE VIRGIN FOUNDATION,CharityList
CYSTIC FIBROSIS TRUST,CharityList
BOGOLYUBOV FOUNDATION,CharityList
THE THALIDOMIDE TRUST,CharityList
CARE INTERNATIONAL UK,CharityList
FIRE FIGHTERS CHARITY,CharityList
HELPAGE INTERNATIONAL,CharityList
THE ALDER HEY CHARITY,CharityList
THE GUIDE ASSOCIATION,CharityList
MERCY SHIPS - U.K LTD,CharityList
SAINT FRANCIS HOSPICE,CharityList
PEGASUS THEATRE TRUST,CharityList
THE SOBELL FOUNDATION,CharityList
THE MARTIN FOUNDATION,CharityList
HELEN & DOUGLAS HOUSE,CharityList
THE SOMPAN FOUNDATION,CharityList
HARROW CENTRAL MOSQUE,CharityList
THE YOUNG VIC COMPANY,CharityList
PURLEY BAPTIST CHURCH,CharityList
E-LEARNING FOUNDATION,CharityList
BATTERSEA ARTS CENTRE,CharityList
EAST CHESHIRE HOSPICE,CharityList
DOGS FOR THE DISABLED,CharityList
NORTH COUNTRY LEISURE,CharityList
THE BABRAHAM INSTITUTE,CharityList
ENGLISH NATIONAL OPERA,CharityList
THE STROKE ASSOCIATION,CharityList
CONCERN WORLDWIDE (UK),CharityList
THE HELPING FOUNDATION,CharityList
OPERATION MOBILISATION,CharityList
HILLSONG CHURCH LONDON,CharityList
ROYAL AIR FORCE MUSEUM,CharityList
MASONIC SAMARITAN FUND,CharityList
BOOK AID INTERNATIONAL,CharityList
THE CRICKET FOUNDATION,CharityList
CLIFTON DIOCESAN TRUST,CharityList
OMF INTERNATIONAL (UK),CharityList
ROYAL ACADEMY OF MUSIC,CharityList
PRINCESS ALICE HOSPICE,CharityList
CHATSWORTH HOUSE TRUST,CharityList
HALLE CONCERTS SOCIETY,CharityList
MORLEY COLLEGE LIMITED,CharityList
FEED THE CHILDREN (UK),CharityList
SIM INTERNATIONAL (UK),CharityList
THE BARCLAY FOUNDATION,CharityList
ORBIS CHARITABLE TRUST,CharityList
SEVERN HOSPICE LIMITED,CharityList
BREAST CANCER CAMPAIGN,CharityList
NEW WINE INTERNATIONAL,CharityList
CARNIVAL VILLAGE TRUST,CharityList
THE HELEN HAMLYN TRUST,CharityList
THE SUFFOLK FOUNDATION,CharityList
BALLET RAMBERT LIMITED,CharityList
THE SHAW TRUST LIMITED,CharityList
SUFFOLK CARERS LIMITED,CharityList
INTERNATIONAL ECO FUND,CharityList
OASIS CHARITABLE TRUST,CharityList
FIRCROFT COLLEGE TRUST,CharityList
JOYCE MEYER MINISTRIES,CharityList
THE DONNA LOUISE TRUST,CharityList
ELLENOR LIONS HOSPICES,CharityList
HISTORIC ROYAL PALACES,CharityList
THE GAVI FUND AFFILIATE,CharityList
GENOME RESEARCH LIMITED,CharityList
MARIE CURIE CANCER CARE,CharityList
THE FOOTBALL FOUNDATION,CharityList
THE VODAFONE FOUNDATION,CharityList
OPEN SOCIETY FOUNDATION,CharityList
THE ANGLO-OMANI SOCIETY,CharityList
CHILDREN WITH CANCER UK,CharityList
BIRMINGHAM ROYAL BALLET,CharityList
ENGLISH NATIONAL BALLET,CharityList
ST CHRISTOPHERS HOSPICE,CharityList
WALES MILLENNIUM CENTRE,CharityList
THE JOHN HORSEMAN TRUST,CharityList
ALZHEIMER'S RESEARCH UK,CharityList
THE SAMWORTH FOUNDATION,CharityList
THE TESCO CHARITY TRUST,CharityList
DEFLOG VQ TRUST LIMITED,CharityList
ARTS & BUSINESS LIMITED,CharityList
DRAPERS CHARITABLE FUND,CharityList
INTERNATIONAL AID TRUST,CharityList
THE LONDON CITY MISSION,CharityList
ACTION MEDICAL RESEARCH,CharityList
MISSION WITHOUT BORDERS,CharityList
THE PRINCE'S FOUNDATION,CharityList
YHA (ENGLAND AND WALES),CharityList
THE HILBORNE FOUNDATION,CharityList
THE OUTWARD BOUND TRUST,CharityList
THE VIVAT TRUST LIMITED,CharityList
GLYNDEBOURNE ARTS TRUST,CharityList
BRITISH LUNG FOUNDATION,CharityList
PLYMOUTH DIOCESAN TRUST,CharityList
BELLJOE TZEDOKO LIMITED,CharityList
ROOM TO READ UK LIMITED,CharityList
MARE AND FOAL SANCTUARY,CharityList
BRITISH REFUGEE COUNCIL,CharityList
MONDAY CHARITABLE TRUST,CharityList
AISH HATORAH UK LIMITED,CharityList
RACHEL CHARITABLE TRUST,CharityList
THE TANK MUSEUM LIMITED,CharityList
THAMES WATER TRUST FUND,CharityList
SOMERSET WILDLIFE TRUST,CharityList
THE ROYAL ACADEMY TRUST,CharityList
PENNY BROHN CANCER CARE,CharityList
THE ELMHURST FOUNDATION,CharityList
THE LEWIS-MANNING TRUST,CharityList
SHRI VALLABH NIDHI - UK,CharityList
THE WOODARD CORPORATION,CharityList
VULCAN TO THE SKY TRUST,CharityList
THE ASPINALL FOUNDATION,CharityList
TEACHER SUPPORT NETWORK,CharityList
SIR JOHN SOANE'S MUSEUM,CharityList
BARNSLEY HOSPICE APPEAL,CharityList
THE SHOOTING STAR TRUST,CharityList
HUMAN RELIEF FOUNDATION,CharityList
CLARENDON TRUST LIMITED,CharityList
MACMILLAN CANCER SUPPORT,CharityList
BRITISH HEART FOUNDATION,CharityList
THE ROYAL BRITISH LEGION,CharityList
GOLDMAN SACHS GIVES (UK),CharityList
ISLAMIC RELIEF WORLDWIDE,CharityList
CYNGOR CELFYDDYDAU CYMRU,CharityList
THE LONDON DIOCESAN FUND,CharityList
THE SIGRID RAUSING TRUST,CharityList
STOCKPORT GRAMMAR SCHOOL,CharityList
CHRIST'S HOSPITAL SCHOOL,CharityList
REDWINGS HORSE SANCTUARY,CharityList
ASSER BISHVIL FOUNDATION,CharityList
THE D M CHARITABLE TRUST,CharityList
SHEFFIELD THEATRES TRUST,CharityList
THE GURKHA WELFARE TRUST,CharityList
HAVENS CHRISTIAN HOSPICE,CharityList
COMMUNITY SECURITY TRUST,CharityList
CATCH 22 CHARITY LIMITED,CharityList
INSTITUTE FOR GOVERNMENT,CharityList
TRUST THAMESMEAD LIMITED,CharityList
IBM UNITED KINGDOM TRUST,CharityList
NORTH WEST AIR AMBULANCE,CharityList
DOLLOND CHARITABLE TRUST,CharityList
BRITISH GAS ENERGY TRUST,CharityList
SKILLSHARE INTERNATIONAL,CharityList
GARSINGTON OPERA LIMITED,CharityList
YORKSHIRE SCULPTURE PARK,CharityList
THE MISSION TO SEAFARERS,CharityList
BOLTON COMMUNITY LEISURE,CharityList
COLUMBIA UK FUND LIMITED,CharityList
NEW HORIZON YOUTH CENTRE,CharityList
THE JEWISH MUSEUM LONDON,CharityList
THE FAIRTRADE FOUNDATION,CharityList
THE EVANGELICAL ALLIANCE,CharityList
THE ALNWICK GARDEN TRUST,CharityList
TODAY'S COMMUNITY CHURCH,CharityList
LIVERPOOL HOPE UNIVERSITY,CharityList
BIRMINGHAM DIOCESAN TRUST,CharityList
RUGBY FOOTBALL FOUNDATION,CharityList
NEWMAN UNIVERSITY COLLEGE,CharityList
THE ROYAL ACADEMY OF ARTS,CharityList
ALLCHURCHES TRUST LIMITED,CharityList
ABF THE SOLDIERS' CHARITY,CharityList
KENT COMMUNITY FOUNDATION,CharityList
THE RAMBLERS' ASSOCIATION,CharityList
THE MUSLIM ACADEMIC TRUST,CharityList
KEREN ASSOCIATION LIMITED,CharityList
YORKSHIRE CANCER RESEARCH,CharityList
THE WORLD CHILDREN'S FUND,CharityList
OAKMERE COMMUNITY COLLEGE,CharityList
PRIVATE EQUITY FOUNDATION,CharityList
THE STRAWBERRY HILL TRUST,CharityList
MAKE-A-WISH FOUNDATION UK,CharityList
MUSICIANS BENEVOLENT FUND,CharityList
DEVON AIR AMBULANCE TRUST,CharityList
SALESIANS OF DON BOSCO UK,CharityList
THE SICK CHILDREN'S TRUST,CharityList
THE JUBILEE SAILING TRUST,CharityList
HAMPSTEAD THEATRE LIMITED,CharityList
WELDMAR HOSPICECARE TRUST,CharityList
MARLBOROUGH COLLEGE TRUST,CharityList
THE SAVE THE CHILDREN FUND,CharityList
VOLUNTARY SERVICE OVERSEAS,CharityList
THE ROYAL NATIONAL THEATRE,CharityList
THE BRITISH FILM INSTITUTE,CharityList
THE HOBSON CHARITY LIMITED,CharityList
THE SALFORD DIOCESAN TRUST,CharityList
BREAKTHROUGH BREAST CANCER,CharityList
THE FIDELITY UK FOUNDATION,CharityList
SOS CHILDREN'S VILLAGES UK,CharityList
WORLD CANCER RESEARCH FUND,CharityList
TRINITY UNIVERSITY COLLEGE,CharityList
BAPTIST MISSIONARY SOCIETY,CharityList
WOOD GREEN ANIMAL SHELTERS,CharityList
THE TERRENCE HIGGINS TRUST,CharityList
MARINE STEWARDSHIP COUNCIL,CharityList
THOMSON REUTERS FOUNDATION,CharityList
THE NATIONAL GALLERY TRUST,CharityList
CHRISTIANS AGAINST POVERTY,CharityList
ST LUKE'S HOSPICE PLYMOUTH,CharityList
THE LITTLE WAY ASSOCIATION,CharityList
HAND IN HAND INTERNATIONAL,CharityList
AHAVAT SHALOM CHARITY FUND,CharityList
HUMAN APPEAL INTERNATIONAL,CharityList
THE LOLEV CHARITABLE TRUST,CharityList
THE PETER JONES FOUNDATION,CharityList
THE WESTMINSTER FOUNDATION,CharityList
EAST ANGLIAN AIR AMBULANCE,CharityList
BARROW HILLS SCHOOL WITLEY,CharityList
THE ROYAL COLLEGE OF MUSIC,CharityList
ESSEX COMMUNITY FOUNDATION,CharityList
SALFORD FOUNDATION LIMITED,CharityList
COMPTON VERNEY HOUSE TRUST,CharityList
MARIE STOPES INTERNATIONAL,CharityList
AID TO HOSPITALS WORLDWIDE,CharityList
NATIONWIDE CHRISTIAN TRUST,CharityList
THE FRIENDS OF OHR SOMEACH,CharityList
THE ARTS COUNCIL OF ENGLAND,CharityList
THE BENENDEN HOSPITAL TRUST,CharityList
THE LEMPRIERE PRINGLE TRUST,CharityList
UNITED JEWISH ISRAEL APPEAL,CharityList
LEONARD CHESHIRE DISABILITY,CharityList
SOCIETY OF THE SACRED HEART,CharityList
THE PROSTATE CANCER CHARITY,CharityList
THE CITY LITERARY INSTITUTE,CharityList
NEW TESTAMENT CHURCH OF GOD,CharityList
FAUNA & FLORA INTERNATIONAL,CharityList
YORK MUSEUM & GALLERY TRUST,CharityList
HOPE AND HOMES FOR CHILDREN,CharityList
WORLD VILLAGES FOR CHILDREN,CharityList
UNITED UTILITIES TRUST FUND,CharityList
THE JACK PETCHEY FOUNDATION,CharityList
THE PETER MOORES FOUNDATION,CharityList
COMPASSION IN WORLD FARMING,CharityList
COLSTON'S COLLEGIATE SCHOOL,CharityList
THE STOWE SCHOOL FOUNDATION,CharityList
THE NOMURA CHARITABLE TRUST,CharityList
THE HAREBELL CENTENARY FUND,CharityList
RALEIGH INTERNATIONAL TRUST,CharityList
ROTHAMSTED RESEARCH LIMITED,CharityList
THE NATIONAL GARDENS SCHEME,CharityList
FARMLAND RESERVE UK LIMITED,CharityList
TRIALOGUE EDUCATIONAL TRUST,CharityList
THE SHAKESPEARE GLOBE TRUST,CharityList
ST OSWALD'S HOSPICE LIMITED,CharityList
THE POLISH CATHOLIC MISSION,CharityList
THE GIRLS' DAY SCHOOL TRUST,CharityList
CHICHESTER FESTIVAL THEATRE,CharityList
ACADEMY OF MEDICAL SCIENCES,CharityList
THE MICHAEL UREN FOUNDATION,CharityList
INTERNATIONAL ANIMAL RESCUE,CharityList
SOUTH OF ENGLAND FOUNDATION,CharityList
HALIFAX OPPORTUNITIES TRUST,CharityList
THE RANK FOUNDATION LIMITED,CharityList
FOUNDATION TRAINING COMPANY,CharityList
KENNETH COPELAND MINISTRIES,CharityList
THE CANCER RESEARCH CAMPAIGN,CharityList
UNITED REFORMED CHURCH TRUST,CharityList
THE NORTHERN ROCK FOUNDATION,CharityList
THE CHRISTIE CHARITABLE FUND,CharityList
"PROJECT HOPE, UNITED KINGDOM",CharityList
RELIGIOUS SISTERS OF CHARITY,CharityList
SADLER'S WELLS TRUST LIMITED,CharityList
HEARING DOGS FOR DEAF PEOPLE,CharityList
MIDDLESBROUGH DIOCESAN TRUST,CharityList
QUARTET COMMUNITY FOUNDATION,CharityList
THE HARROW DEVELOPMENT TRUST,CharityList
THE CHURCH OF PENTECOST - UK,CharityList
THE CHARITIES AID FOUNDATION,CharityList
CUMBRIA COMMUNITY FOUNDATION,CharityList
CHRISTIAN MEDICAL FELLOWSHIP,CharityList
THE MARTLETS HOSPICE LIMITED,CharityList
THE ATLANTA CHARITABLE TRUST,CharityList
ESSEX WILDLIFE TRUST LIMITED,CharityList
NORFOLK COMMUNITY FOUNDATION,CharityList
THE CLOTHWORKERS' FOUNDATION,CharityList
MEDICAL AID FOR PALESTINIANS,CharityList
BRITISH EPILEPSY ASSOCIATION,CharityList
THE MENTAL HEALTH FOUNDATION,CharityList
INSPIRED BY SPORT FOUNDATION,CharityList
THE COLES-MEDLOCK FOUNDATION,CharityList
YOUTH WITH A MISSION LIMITED,CharityList
THE R AND S COHEN FOUNDATION,CharityList
EUROVISION MISSION TO EUROPE,CharityList
THE BRITISH RED CROSS SOCIETY,CharityList
DISASTERS EMERGENCY COMMITTEE,CharityList
IMPERIAL CANCER RESEARCH FUND,CharityList
MEDECINS SANS FRONTIERES (UK),CharityList
LEUKAEMIA & LYMPHOMA RESEARCH,CharityList
SOUTHAMPTON ROW TRUST LIMITED,CharityList
CHILDREN'S HOSPICE SOUTH WEST,CharityList
THE ROYAL STAR & GARTER HOMES,CharityList
THE NATIONAL AUTISTIC SOCIETY,CharityList
LUTON CULTURAL SERVICES TRUST,CharityList
NATIONAL ART COLLECTIONS FUND,CharityList
THE CLORE DUFFIELD FOUNDATION,CharityList
BELPER LEISURE CENTRE LIMITED,CharityList
THE DUKE OF EDINBURGH'S AWARD,CharityList
CANCER RECOVERY FOUNDATION UK,CharityList
PREMIER CHRISTIAN MEDIA TRUST,CharityList
NOMINET CHARITABLE FOUNDATION,CharityList
SRI GURU SINGH SABHA SOUTHALL,CharityList
SLOUGH ISLAMIC SCHOOL PROJECT,CharityList
FEDERATION OF JEWISH SERVICES,CharityList
BENNY HINN MINISTRIES LIMITED,CharityList
NATIONAL ANIMAL WELFARE TRUST,CharityList
THE DOUGHTY FAMILY FOUNDATION,CharityList
ABSOLUTE RETURN FOR KIDS (ARK),CharityList
BATTERSEA DOGS' AND CATS' HOME,CharityList
ACHISOMOCH AID COMPANY LIMITED,CharityList
OPEN DOORS WITH BROTHER ANDREW,CharityList
THE KING FAHAD ACADEMY LIMITED,CharityList
CHEAM SCHOOL EDUCATIONAL TRUST,CharityList
MAN GROUP PLC CHARITABLE TRUST,CharityList
ST MARGARET'S SOMERSET HOSPICE,CharityList
THE ELTON JOHN AIDS FOUNDATION,CharityList
MIDLANDS AIR AMBULANCE CHARITY,CharityList
KABBALAH CENTRE EUROPE LIMITED,CharityList
PILGRIMS HOSPICES IN EAST KENT,CharityList
BOURNEMOUTH SYMPHONY ORCHESTRA,CharityList
THE VEOLIA ENVIRONMENTAL TRUST,CharityList
ST CATHERINE'S HOSPICE LIMITED,CharityList
GEMS ADVISORS CHARITABLE TRUST,CharityList
HOPE HOUSE CHILDREN'S HOSPICES,CharityList
DERIAN HOUSE CHILDRENS HOSPICE,CharityList
BRIGHTON DOME AND FESTIVAL LTD,CharityList
THE OLD VIC THEATRE TRUST 2000,CharityList
WILLESDEN GREEN BAPTIST CHURCH,CharityList
GREENPEACE ENVIRONMENTAL TRUST,CharityList
SKILLSET SECTOR SKILLS COUNCIL,CharityList
ST ELIZABETH HOSPICE (SUFFOLK),CharityList
