"allsponsors","Freq"
"algerian petroleum institute",1
"allan nesta ferguson charitable trust",1
"allan nesta foundation",1
"allergan inc",2
"alliance boots",1
"alliance self care research",2
"alltech biotechnology",1
"almergab university",1
"alstom grid",1
"altajir trust",1
"altera",1
"alzheimer research uk",5
"alzheimer scotland",1
"alzheimers society",2
"amateur swimming association",1
"amec",1
"amec clean energy",1
"amec foster wheeler",1
"amec power process europe",1
"amelia earhart fellowship",1
"american-mideast-educational training services",1
"american association cancer research",1
"american association stratigraphic palynologists",1
"american college greece",1
"american council learned societies dissertation writing scholarship east european studies",1
"american heart association",1
"american society mechanical engineers",1
"american university beirut",1
"amherst college",1
"amman",1
"ammf cholangiocarcinoma charity",1
"amp",1
"analytical chemistry trust fund",1
"anandhamahidol foundation",1
"anatomical society",4
"anatomy genetics",1
"andrew mellon foundation",2
"angiodynamics",1
"angle plc",1
"anglia ruskin university",3
"anglian water",2
"anglican dioceses manchester wakefield",1
"anglo-european college chiropractic",1
"anglo-jewish association",1
"anglo-spanish society",1
"anglo american",2
"anglo platinum ltd",1
"animal health veterinary laboratories agency",1
"animal plant health agency",1
"anonymous trust",1
"anr project mandy",1
"anthony wilkin fund",1
"anthropological film studies",1
"anthropology osteoarchaeology",1
"aouk",1
"aphrc",1
"apical ltd",1
"applied computing engineering ltd",1
"applied enzyme technologies ltd",1
"applied photophysics ltd",1
"applied science university",2
"aptec products ltd",1
"aquaculture station faroes",1
"aquapharm",1
"arab academy science",2
"arab acadmey science",1
"arab british chamber commerce",2
"arab student aid international",1
"arabian gulf university",1
"arc project nr 1333",1
"arcelormittal",2
"arcelormittal research",1
"archbishops council",1
"archimedes foundation",3
"areva gmbh",1
"arfl",1
"argans ltd",1
"ariadne eu-initial training network",1
"arizona state university",1
"arnold",1
"arrow therapeutics ltd",1
"art humanities research council",434
"arthritic association",1
"arthritis research uk",26
"arthur m sackler foundation",1
"arthur trott fund",1
"arts council finland",1
"arts council ireland",1
"arts humanities research board",2
"arts social sciences",14
"arts university bournemouth",2
"arup",6
"arup security consulting",1
"arup uk",1
"arvia technology ltd",1
"ascometal",1
"asda",1
"ashton",1
"asmarley trust",1
"asociacion mps espana",1
"aspetar",1
"assemble",2
"assessoria de economia e estatística",1
"assistant secretary drugs medical supplied affairs",1
"associac¸o portuguesa de economia da sau´de",1
"association advancement baltic studies",1
"association business schools",1
"association chartered certified accountants",2
"association chartered physiotherapists interested neurology",1
"association commonwealth universities",2
"association fire ecology",1
"association française contre les myopathies",1
"association french language studies",1
"association low countries studies",1
"association palliative medicine great britain ireland",1
"association study animal behaviour",1
"astec",1
"astellas pharma ltd",1
"asthma uk",7
"asthma uk centre allergic mechanisms asthma",1
"astrazeneca",61
"astrophysics research institute",1
"asylum research uk",1
"ataxia uk",4
"atbu",1
"atkins",1
"atlantic salmon trust",1
"atomic energy research establishment",1
"atomic weapons establishment",25
"atranova ltd",1
"audenshaw foundation fund",1
"aura-nms",1
"australia",1
"australian nuclear science technology organisation",1
"austrian academy sciences",1
"austrian agency international cooperation education research",1
"austrian center competence mechatronics",1
"autism speaks meixner translational postdoctoral fellowship",1
"autistica",1
"autonomous learning agents decentralised data information networks",1
"avacta group plc",1
"aviation industry corporation china",1
"awe aldermaston",1
"awe plc",3
"axa",1
"axa research fund",3
"ayrshire metal products",1
"azzaytuna university",1
"b-neuro",1
"b giáo dc và dào",1
"babcock wilcox company",1
"baby charity",4
"backcare uk",1
"bacons college",1
"bacr",2
"bae systems",24
"baghdad",5
"baghdad university",1
"bahauddin zakariya university",1
"bahrain",1
"baines foundation",1
"bajs john crump scholarship",1
"bakalas foundation",1
"baldwin brown travelling scholarship",1
"balfour beatty ground engineering",1
"balikesir electromechanical plants corporation",1
"balliol college",2
"bam nuttall ltd",1
"banco de la república",1
"bandm foundation innovative vector control consortium",1
"bang olufsen",2
"bangkok",1
"bangladesh public administration training centre",1
"bank",1
"bank indonesia",3
"bank negara malaysia",1
"bao gang ji tuan gong si",1
"baptist union great britain",1
"barbados light power company",1
"barbados national development scholarship",1
"barbara mawer endowment fund",1
"barbara mawer studentship",1
"barbour foundation",1
"bardhan research education trust",3
"barratt developments plc",1
"barry",1
"barts london charity",4
"basf",1
"basf aktiengesellschaft",1
"basque country",2
"batelle energy alliance",1
"bath spa university",1
"baxter",2
"bayer corporation",1
"bayer cropscience",1
"bayero university",1
"bbc",2
"bbrsc",1
"bbsrc diet health research industry club",1
"bcdaad arc project nr 134950021880",1
"bdsp partnership",1
"beacon north east",1
"beca de doctorado en el extranjero por gestión propia 2007",1
"beca presidente de la republica",1
"becas",1
"becas chile",9
"beckers group",1
"beerbaum",1
"beijing east gallery co ltd",1
"beijing holley-cotec pharmaceuticals co",1
"beit trust",7
"belmas",2
"beni-suef university",1
"bentley motors ltd",1
"benue state university",1
"bergen",1
"berlin house representatives",1
"bessie rook memorial fund",1
"bestway foundation",1
"betfair group plc",1
"bethecure",1
"bg group",5
"bhf",2
"bial foundation",4
"bibliographical society",1
"bière",1
"big lottery",4
"bilim zhane ghylym ministrligi",1
"biobest",2
"biobridge",1
"biochemical society",1
"biocompatibles uk ltd",1
"biogemma",1
"biointeractions ltd",1
"biological biotechnological sciences research council",470
"biology liver pancreatic development disease",1
"biomass fossil fuels research alliance",1
"biomedical imaging institute",1
"biomedical research centre",2
"biomedical research centre ageing age-related disease",1
"biomedical research unit reproductive health",1
"biomer technology ltd",1
"biomin holding gmbh",1
"biopharma technology ltd",1
"bioprocessing research industry club",1
"biosciences knowledge transfer network",1
"biostatus",1
"biotechnology programme",2
"biotronik international",1
"birmingham",1
"birmingham black country comprehensive local research network",1
"birmingham business school",2
"birmingham centre railway research education",1
"birmingham childrens hospital",1
"birmingham community healthcare nhs trust",1
"birmingham construction partnership",1
"birmingham law school",1
"birmingham science city",3
"birmingham university",1
"birmingham womens hospital nhs foundation trust",1
"birth control trust",1
"black country partnership nhs foundation trust",1
"bliss",1
"blood institute",1
"bloomsbury colleges phd studentship",2
"bluecoat",1
"bluemt ltd",1
"bluerisc",1
"bmva",1
"bobby berman scholarship",1
"bod ayre products ltd",1
"bodossaki foundation",1
"boehringer ingelheim",4
"boise fund",1
"bolton council",1
"bombardier aerospace",1
"bone cancer research trust",1
"borno state government",3
"borrow foundation",3
"boston consulting group",1
"boston scientific",1
"botswana embassy",1
"bowel disease research foundation",2
"bp",4
"bp australia exploration",1
"bp eastern mediterranean",1
"bp oil international",1
"bp plc",3
"bp solar",1
"bpex",1
"bptt",1
"bradford school optometry vision sciences",1
"bradford university school management",2
"brain sciences foundation",1
"brain tumour north west",2
"branston ltd",1
"brasenose college",1
"brazil",8
"brazilian agricultural research corporation",1
"brazilian council scientific technological development",1
"brazilian national council research",1
"brazilian support service micro small enterprises",1
"bre trust",1
"breakthrough breast cancer",2
"breast cancer campaign",7
"breast cancer hope",1
"brian robson postgraduate research scholarship urban policy",1
"bridgnorth aluminium ltd",1
"bright",1
"bright red",1
"brighton ymca",1
"brisk transnational access programme",1
"brismesbarclays scholarship",1
"bristol myers squibb",1
"britannia royal naval college",1
"british academy",2
"british american tobacco",1
"british antarctic survey",2
"british archaeological association",2
"british association biological",1
"british association health services higher education",1
"british association irish studies",4
"british association japanese studies",1
"british association oral maxillofacial surgeons",1
"british association romantic studies",5
"british association study prevention child abuse neglect",1
"british broadcasting corporation research development",1
"british cardiovascular society",1
"british council",18
"british deer society",1
"british educational leadership",2
"british energy",1
"british federation women graduates",6
"british geological survey",5
"british gymnastics",1
"british gypsum",1
"british heart foundation",108
"british hiv association",1
"british infection association",1
"british institute ankara",2
"british institute eastern africa",1
"british institute persian studies",2
"british inter-university china centre",1
"british international studies association",1
"british journal anaesthesia",2
"british librarys endangered archive project",1
"british liver trust",1
"british lung foundation",2
"british mass spectrometry society",1
"british museum",1
"british orthopaedic association",2
"british pain society",1
"british petroleum",6
"british pharmacological society",1
"british pig executive",4
"british renal society",1
"british school rome",1
"british skin foundation",1
"british society animal science",2
"british society geomorphology",2
"british society haematology",2
"british society immunology",1
"british society mental health deafness",1
"british society middle eastern studies",1
"british society neuroendocrinology",1
"british society paediatric endocrinology",1
"british society parasitology",1
"british society periodontology",2
"british society surgery hands",1
"british sociological association",2
"british spanish society",1
"british telecom",2
"british toxicology society",1
"british trust ornithology",2
"british united provident association",1
"british waterways",1
"brixham environmental laboratory",1
"broad medical research program",1
"brooks world poverty institute",4
"bruker daltonics",1
"brunei",7
"brunei darussalam",2
"brunei government",3
"brunel business school",4
"brunel university",35
"brunswick street",2
"bryce read funds history faculty",1
"bufi",1
"building research establishment",1
"bundesanstalt fu¨r arbeitsschutz und arbeitsmedizin",1
"bupa",2
"burapha university",1
"burdett trust nursing",1
"burkett scholarship",1
"buro happold ltd",2
"butterfly conservation",1
"buwalda stichting",1
"c r barber trust",1
"c t taylor studentship",1
"cadre",2
"cadw",1
"cairo university",1
"caja de ahorros y pensiones de barcelona",1
"caja madrid foundation",1
"calderdale metropolitan borough council",1
"callebaut",1
"callum mcdonald memorial bursary",1
"calouste gulbenkian foundation",1
"camborne school mines",2
"cambridge",4
"cambridge australia trust",2
"cambridge commonwealth",10
"cambridge display technologies",4
"cambridge econometrics bursary",1
"cambridge european trust",9
"cambridge hepatology endowment fund",1
"cambridge infectious diseases consortium",1
"cambridge overseas trust",10
"cambridge philosophical",8
"cambridge research laboratory",1
"cambridge silicon radio",1
"cambridge university press",1
"cambridgeshire community services nhs",1
"cameroonian government",1
"camões institute",1
"canada",2
"canadian centennial scholarship fund uk",1
"canadian co-operative association",1
"canadian historical association",1
"canadian natural science engineering research council",1
"canadian social sciences research council canada",1
"canadian society mucopolysaccharide related diseases",1
"çanakkale onsekiz mart university",1
"cancer research centre uk",1
"cancer research uk",88
"cancer research wales",1
"cancer studies",1
"cantech ltd",1
"canterbury christ church university",2
"cape eleuthera foundation",1
"capes",6
"capes foundation",3
"capesbrazil",3
"caprocks project",1
"carbon trust",1
"cardiovascular research centre",2
"cargill",2
"carisma",1
"carnegie project implementation",1
"carnegie research grant",1
"carnegie trust",10
"carter foundation",2
"case",1
"case award",1
"case studentship fei company",1
"case university translational laboratories",1
"casella measurement ltd",1
"cassidian ltd",1
"castrol",1
"castrol ltd",1
"caterpillar inc",1
"catherine cookson fund",1
"catherine mackichan trust",1
"catherine oliver bequest",1
"catlin group limited",1
"cavendish laboratory hep group",1
"cawtar",1
"cbcicb",1
"cbe",1
"cca",1
"ccfra",1
"cea gramat",1
"ceas",1
"cefas",3
"ceh",1
"ceibiem",1
"ceimig ltd",1
"celgene corporation",1
"celgene international sarl",1
"cellbond composites ltd",1
"celoxica",1
"center international programs bolashak",1
"center renaissance studies",1
"central research fund",2
"centre advanced study arab world",1
"centre amerindian",1
"centre bacterial cell biology",1
"centre biomedical engineering",1
"centre brain ageing vitality",1
"centre canadian studies",1
"centre cardiovascular metabolic research",1
"centre citizenship",1
"centre climate change economics policy",1
"centre competitive advantage global economy",1
"centre computing social responsibility",1
"centre de recherche nestlé",1
"centre detudes et de recherches economiques et sociales",1
"centre discrete mathematics applications",2
"centre doctoral training",4
"centre east european language-based area studies",1
"centre ecology hydrology",5
"centre electronic systems research",1
"centre environment",4
"centre evidence based purchasing",1
"centre fire hazard science",1
"centre health protection research",1
"centre information management",1
"centre interdisciplinary computational dynamical analysis",1
"centre kurdish studies",1
"centre leadership studies",1
"centre local economic strategies",1
"centre mammalian physiology pharmacology",1
"centre maritime historical studies",1
"centre material physics chemistry",1
"centre nordic studies",1
"centre process integration",1
"centre process systems industrial consortium",1
"centre research education education technology",1
"centre research linguistics language sciences",1
"centre theoretical cosmology",1
"centre virtual environments",1
"centre vision",4
"centrica energi",1
"centro italiano ricerche aerospaziali",1
"centro universitario cattolico",1
"centronic ltd",1
"ceres power limited",1
"cern",2
"certis europe",1
"cetl postvernacular music scholarship",1
"cflri",1
"cggveritas",1
"ch",1
"chadwick trust travelling scholarship",1
"champs oncology",1
"chang gung medical foundation",1
"changgeng ji nian yi yuan",2
"chapman bdsp",1
"charles brotherton trust",1
"charles darwin foundation",1
"charles salt centre",1
"charles wallace bangladesh trust",2
"charles wallace india trust",1
"charles wallace pakistan trust",4
"charles wallace trust",3
"chartered society physiotherapy charitable trust",2
"chelsea westminster charity trust",1
"chelsea westminster healthcare",3
"chelsea westminster hospital nhs foundation trust",3
"chemessentiachemo",1
"chemical research department",1
"chemistry innovation",2
"chen jiageng ji jin hui",1
"chesapeake corporation",1
"cheshire west chester council",1
"chess",1
"chest",4
"chester zoo",2
"chevron australia pty ltd",1
"chevron corporation",2
"chevron oronite company llc",1
"chiang ching-kuo foundation international scholarly exchange",3
"chiang mai rajabhat university",1
"chiangmai university",3
"chicago health research foundation",1
"chicks",1
"chief nurses office",1
"chief scientist office",20
"childrens cultural services directorate",1
"childrens foundation",1
"childrens trust",1
"childrens workforce development council",3
"chile",10
"chile mecesup utm208",1
"chilean government",4
"china",4
"china electric power research institute",1
"china market association",1
"china oxford scholarship fund",3
"china scholarship council",103
"chinese ministry education",1
"chinese scholarship council",15
"chirotech technology ltd",2
"chloe-svider grant",1
"choroideremia research foundation canada",1
"christ church college",1
"christie nhs foundation trust",1
"chugai pharma uk",1
"church development service",1
"church england",1
"churches international student network",1
"churches together uk",1
"chx technologies",1
"cidect",3
"ciencia",1
"ciencia y tecnologi´",24
"cima",2
"circolo",1
"circulation foundation",4
"cisco systems",1
"citadel capital foundation",1
"city college plymouth",1
"city hospital",1
"city hospitals sunderland nhs foundation trust",1
"civil engineering department",1
"civil society rule law",1
"clancy consulting ltd",1
"clare college domestic research scholarship",1
"clarendon award",1
"clarendon fund",45
"clarendon scholars",5
"clarendon trust",1
"clark foundation legal education",1
"classical association canada",1
"classics archaeology",1
"claude leon foundation",1
"clean sky joint technology initiative",1
"clic sargent",1
"climate-kic",1
"climate change sustainable futures",2
"clinical infectious disease research initiative",1
"clinical practice research datalink",1
"clinical research network",1
"clinical research training fellowship",1
"clinton devon estates",1
"clip cetl",1
"clothworkers company",1
"clothworkers foundation",3
"cm-dtc",1
"cm-technology",1
"cms",1
"cnpq",1
"cnrs-institut des sciences humaines et sociales",1
"co-reach",1
"cob",1
"cobrey farms",1
"cockcroft institute",2
"cockcroft studentship",1
"cocoa research",2
"codemasters",1
"codeplay software ltd",1
"coebio3",1
"cohen charitable trust",1
"colciencias",11
"coleg cymraeg cenedlaethol",1
"colfuturo",9
"collaboration leadership applied health research care",2
"collaboration university reutlingen",2
"college arts law",7
"college engineering",7
"college fine arts university texas austin",1
"college humanities",4
"college life environmental sciences",2
"college life sciences medicine",3
"college medical dental sciences",1
"college medicine veterinary medicine",2
"college optometrists",3
"college physical sciences",3
"college social sciences international studies",2
"colmcille",1
"colombia",5
"colombian department science",1
"colombian institute development science technology colciencias",1
"colorado state university",1
"colt foundation",4
"combustion institute",2
"comic relief",1
"comision nacional de investigacion cienti´fica y tecnologica",2
"comisión nacional de investigación científica y tecnológica",3
"comissão executiva plano da lavoura cacaueira",1
"commission higher education",1
"commissioner education",1
"commonwealth commission",1
"commonwealth european international cambridge trust",1
"commonwealth scholarship",63
"commonwealth scientific industrial research organisation",2
"commonwealth secretariat",2
"communication language sciences",1
"community foundation",1
"community pharmacy scotland",1
"compact instruments ltd",1
"company biologists",2
"compromise conflict",1
"computer science",29
"computing mathematics",1
"comsats institute information technology",3
"conacyt",52
"conacyt-cambridge trusts",1
"conacyt-mexico",3
"conacyt méxico",2
"concept building services ltd",1
"conclude consultancy limited",1
"concrete preservation technologies ltd",1
"conicyt",10
"conocophilips company",1
"conocophillips",1
"conseil national de la recherche scientifique",1
"consejo nacional de ciencia y tecnología",15
"conselho nacional de desenvolvimento cienti´fico e tecnolo´gico",1
"conservation international",1
"conservation trust fund",1
"consortium peace studies calgary university",1
"constructing excellence",1
"continental corporation",1
"control techniques",1
"controls data services",1
"converteam uk ltd",1
"cooper coated coil",1
"cooperative bank kyperounda",1
"coopervision inc",1
"coordenação aperfeiçoamento de pessoal de nível superior",1
"coordenação de aperfeiçoamento de pessoal de nivel superior",2
"copenhagen school design technology",2
"copperbelt university",1
"cordis corporation",1
"core",1
"cork dept economics",1
"cornish institute engineers",1
"cornwall college",1
"cornwall council",2
"cornwall county council",1
"cornwall isles scilly primary care trust",1
"coronary flow trust st marys hospital",1
"corpus christi college cambridge",1
"corpus christi college taylor bursary",1
"corrigan foundation",1
"corus",1
"corus group",1
"corus tube",1
"corus tubes uk",1
"cost",2
"cotswold seeds ltd",1
"council higher education",3
"countryside community research trust",1
"countryside council wales",1
"county durham darlington nhs foundation trust",1
"coventry city council",1
"coventry university",1
"coventry warwickshire partnership trust",1
"coverdale trust",1
"cpse industrial consortium",1
"cqc",1
"cr-uk",1
"cr-uk epsrc cancer imaging programme cclg",1
"craigavon hospital",1
"creative scotland",3
"creet",1
"crest jip",1
"crills school ecls",1
"crop evaluation ltd",1
"cross talk",1
"croucher foundation",1
"crown estate",1
"crown holdings",1
"cruk",5
"csc",1
"cts",1
"cubewano ltd",1
"culham centre fusion energy",7
"culham laboratory",1
"cultural affairs department",1
"cultural bureau",22
"cultural office",4
"cultural policy dynamics",1
"culture",2
"cultures religion",1
"cummins turbo technologies",1
"cunningham trust",1
"cvssp",2
"cwit",1
"cyprus",1
"cystic fibrosis trust",2
"cystinosis foundation uk",1
"cytec engineered materials ltd",1
"daad",3
"daad fellowship",1
"daartepsrc",1
"dairy council",1
"dairyco",1
"daiwa anglo-japanese foundation",1
"daiwa foundation",1
"dalton nuclear institute",1
"damascus university",12
"damietta university",1
"dampt",1
"danish international cooperation agency",1
"danish natural science research council framework",1
"darg",1
"darman va amuzish pizhishki",1
"dart valley systems limited",1
"dartington college arts",1
"darwin college",1
"darwin initiative biodiversity",1
"darwin trust",6
"david buckley",1
"david nicholls memorial trust",1
"dcds",2
"de beers",1
"de breed kreiken innovatiefonds",1
"de montfort university",2
"deb group ltd",1
"decade roma inclusion",1
"defence",1
"defence medical rehabilitation centre",1
"defence postgraduate medical deanery",2
"defence science technology",20
"dehradun",1
"delcam plc",1
"delta state government",1
"deltares",1
"denmark",1
"denplan",1
"departamento administrativo de ciencia",2
"departamento de educación",2
"departemen pendidikan nasional",1
"department applied mathematics theoretical physics",1
"department business",7
"department chemical engineering",4
"department chemistry",1
"department classics ancient history",1
"department communities local government",1
"department computing",2
"department dance",1
"department earth science engineering",1
"department economics",12
"department education",2
"department electronic",2
"department energy",4
"department engineering",1
"department english drama",1
"department environment",23
"department french studies",1
"department geography",1
"department health",17
"department history art",1
"department homeland security",1
"department information science",2
"department information systems computing",1
"department innovation",3
"department international development",9
"department italian",1
"department languages",1
"department literature languages",1
"department mathematics",6
"department mechanical engineering",2
"department medical services",2
"department mineral resources",1
"department modern languages",1
"department physics",2
"department physiology",1
"department plant sciences",1
"department plastic",1
"department politics",8
"department renal medicine",1
"department science service",1
"department science technology",2
"department social anthropology",1
"department sociology",1
"department statistics",2
"department theatre dance university texas austin",1
"department trade industry",4
"department transport",1
"department world cultures",1
"departmental overseas studentship",1
"deploy",1
"deputy prime minister minister interior uae",1
"deputy rectors award",1
"derek butler trust",1
"design architecture",1
"design physical sciences",2
"design research society",1
"design sustainability",6
"designbuilder ltd",1
"desto",1
"desy",1
"deutsche falkenorden",1
"deutsche forschungsgemeinschaft",4
"deutsche krebshilfe",1
"deutscher akademischer austauschdienst",6
"development impact evaluation initiative",1
"development promotion science technology talents project",1
"devon county council",2
"devon partnership trust",1
"devon wildlife trust",1
"dfg",1
"dfid",3
"dges dcds award",1
"dhonburi rajabhat university",1
"diabetes uk",7
"diageo plc",1
"dialight lumidrives",1
"diamond light source",7
"diamond trading company",1
"diamond university consortium",1
"dikti scholarship",1
"dimbleby cancer care trust",1
"diocese birmingham",1
"diomed",2
"diomedes eu project",1
"direction generale de larmement",1
"directorate higher education",5
"direktorat jenderal pendidikan tinggi",1
"direktorat pendidikan tinggi",1
"dirk",1
"discover bute landscape partnership scheme archaeological research project",1
"discs foudation",1
"distance learning university",1
"dius",1
"diving diseases research centre",1
"dm orthotics ltd",1
"doctoral program foundation",1
"doctoral training account",11
"donald court fund",1
"donald withrington trust",1
"doncaster primary care trust",1
"doncasters paralloy ltd",1
"doncasters plc",1
"doris duke charitable foundation",2
"dorothy garrod fund",1
"dorothy hodgkin phd scholarship",1
"dorothy hodgkin postgraduate award",13
"dorothy hodgkin postgraduate scholarship",1
"dorothy marchus senesh fellowship",1
"dorset county council",2
"dotrural digital economy hub",1
"douglas bomford trust",1
"dovedale trust",1
"dow agrosciences llc",1
"dowager countess elanor peel trust",1
"downing college",1
"dpmms",1
"dpst",1
"dr e hart trust",1
"dr jr colley scholarship",1
"dr reddys",1
"dr reddys laboratories",1
"dr wali trust",1
"dr william edmund harker foundation",1
"dsm",1
"dso national laboratories",2
"dtc",3
"dti",2
"dubai police headquarters",1
"duchy cornwall",1
"dudley group hospitals foundation trust",1
"dudley stamp memorial award 2011",1
"dudley stamp memorial fund",1
"duke august library",1
"dundee",2
"dundee repertory theatre",1
"dunhill medical trust",6
"dunlop oil marine ltd",1
"durham university",2
"durrell wildlife conservation trust",1
"dutch polymer institute",1
"dyer environmental controls ltd",1
"dyson ltd",1
"e engineering",1
"e engineering ltd",1
"e technologies",1
"e uk",3
"eads",3
"eads airbus",1
"eads astrium",2
"eads innovation works",4
"eads iw",1
"ealing hospital nhs trust",1
"earth environmental science",3
"earthwatch icelandic glaciers project",1
"earthwatch institute",1
"east africa iedea consortium",1
"east midlands children young people legacy",1
"east midlands sustainable construction inet",1
"east midlands universities association",1
"east riding yorkshire council",1
"eastchem",3
"eastern coastal kent primary care trust",1
"eastern region public health observatory",1
"eaton aerospace",1
"eblexhcc",1
"ebnet stiftung",1
"ebonyi state university abakaliki",1
"ec",3
"ec fp7",1
"ec project cafe",1
"ec project connect",1
"ecls",1
"ecnp",1
"ecology building society",1
"ecomar",1
"economic",1
"economic history society",1
"economic social research council",530
"economic society viking society northern research",1
"economics division",1
"ecuadorian secretariat higher education",1
"eddie davies chair entrepreneurship innovation",1
"eden project",1
"edf energy",9
"edf energy generation ltd",1
"edf energy plc",1
"edf energy randd uk centre limited",1
"edinburgh",1
"edinburgh designs ltd",1
"edinburgh global research scholarship",2
"edinburgh legal education trust",1
"edinburgh school economics",2
"education",1
"education commission pakistan",1
"education religious affairs",1
"education trust fund",24
"educational bureau london",2
"edward eva underwood charitable foundation",1
"edward penley abraham research fund",1
"edward penley abraham studentship",1
"eese",1
"effective schools enhanced education management",1
"egenis centre",1
"egf",1
"egu",1
"egypt",8
"egyptian armament authority",1
"egyptian cultural centre education bureau",4
"egyptian cultural educational bureau",3
"egyptian culture centre educational bureau",1
"egyptian educational bureau",1
"egyptian government",15
"eh carr",1
"eh carr scholarship",2
"eh carr studentship",3
"eidgenössische technische hochschule zürich",1
"ekiti state university",1
"el masry foundation community development",1
"elecdem training network electoral democracy",1
"electrical system engineering",4
"electricité de france",9
"electricity north west",2
"electricity policy research group",1
"electronic electrical engineering student award",1
"element six",2
"elephants without borders",1
"eli lilly",1
"eli lilly co ltd",1
"elizabeth casson trust",1
"elizabeth walker foundation",1
"elsoms seeds ltd",1
"embassy arab republic egypt",1
"embo",2
"emcrc",1
"emf biological research fund",1
"emil aaltonen foundation",1
"emirates aviation university",1
"emma leslie reid scholarship",1
"emmanuel college",2
"emory university",1
"empirikion foundation",1
"endeavour research fellowship",1
"energy africa pty ltd",1
"energy futures group",4
"energy innovation programme office",2
"energy institute",1
"energy technology partnership",3
"enfis",1
"engineering physical science research council",2197
"engineering physical sciences council",2
"engineering physical sciences research board",1
"engineering physics research council",2
"engineering research development technology consortium",1
"engineering research sciences research council",1
"engineering services corporation ltd",1
"engineering technology",1
"england",11
"england wales cricket board",1
"english beef lamb executive",3
"english football association",1
"english heritage",2
"english institute sport",1
"english national ballet",1
"enterprise regulatory reform",1
"environment agency",15
"environment canada",1
"environment society",3
"environmental ergonomics research centre",2
"environmental research institute",2
"eoard",1
"eon",2
"eon new build technology",2
"epd0020601",1
"epg0695811",1
"epi0054391",1
"epilepsy research uk",2
"epistem",1
"epistem ltd",1
"epp500181",1
"epping breast cancer research fund",1
"eprrc",1
"eps faculty",3
"epsilon",1
"epsrc-pharma synthesis network",1
"epsrc dirc project",1
"epsrc doctoral training award",1
"epsrc dta grant",1
"epsrc dta research scholarship",1
"epsrc grant gre0446621",1
"epsrc ids scheme",1
"epsrc latest portfolio partnership",1
"epsrc supergen flexnet project",1
"epsrc supergen program",1
"epsrc supergen pv consortium",1
"epsrs",1
"equally well initiative",1
"equinox pharma limited",1
"erasmus",1
"erasmus fund",3
"erasys",1
"erbil-iraq",1
"erc",3
"erc equipoise ltd",1
"erdf",2
"erebus partnership",1
"erik gurli hultengren",1
"es enid nicol trust",1
"esf",5
"esf-cuc",1
"eskoartwork",1
"esmee fairbairn foundation",1
"esrc case award partner organisation dorset county county",1
"esrcnerc",2
"essex business school",16
"essex wildlife trust",1
"establishment martyrs iraq",1
"estonia",1
