"Index","Obs","Ref","SponsorID","UKGovSponsorObs","UKGovSponsorRef","BusSponsorObs","BusSponsorRef","CharitySponsorObs","CharitySponsorRef","AMRCSponsorObs","AMRCSponsorRef","SponsorClass","AMRCSponsor","TotalInIndex"
2476,"abbott pharmaceuticals","abbott pharmaceuticals",16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
394,"abbvie","abbvie",17,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,2
667,"abcam plc","abcam plc",18,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
4081,"abdul wali khan university mardan","abdul wali khan university mardan",19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
561,"abdullah","abdullah",20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
529,"abeokuta","abeokuta",21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
585,"aberdeen","aberdeen",22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2693,"aberdeen business school","aberdeen business school",23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3024,"aberdeen endowments trust","aberdeen endowments trust",24,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
4495,"aberdeen formation evaluation society","aberdeen formation evaluation society",25,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
1796,"abertay university","abertay university",26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
152,"aprs","aberystwyth postgraduate research scholarship",27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,20
5010,"aberystwyth postgraduate research scholarship","aberystwyth postgraduate research scholarship",27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,20
5028,"aberystwyth postgraduate research studentship","aberystwyth postgraduate research scholarship",27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,20
2462,"aberystwyth university","aberystwyth university",28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,11
5103,"aberystwyth university departmental scholarship","aberystwyth university",28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,11
2250,"abia state university","abia state university",29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3266,"abu dhabi education council","abu dhabi education council",30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2154,"abu dhabi government","abu dhabi government",31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
4037,"abu dhabi health services company","abu dhabi health services company",32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1431,"abu dhabi police","abu dhabi police",33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,3
4490,"abu dhabi police general headquarters","abu dhabi police",33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,3
225,"abuja","abuja",34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,3
4636,"academic professional programs americas","academic professional programs americas",35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1074,"academy athens","academy athens",36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1202,"academy finland","academy finland",37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,2
3917,"academy graduate studies tripoli","academy graduate studies tripoli",38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2407,"academy korean studies","academy korean studies",39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2924,"academy marketing science","academy marketing science",40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3764,"academy medical royal colleges","academy medical royal colleges",41,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"charity",FALSE,1
819,"acal energy","acal energy",42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
5353,"acca asociación para la conservación de la cuenca amazónica","acca asociación para la conservación de la cuenca amazónica",43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3590,"access pharmaceuticalssomanta","access pharmaceuticalssomanta",44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
329,"acorne","acorne",45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
307,"acqwa","acqwa",46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1926,"action hearing loss","action hearing loss",47,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"charity",TRUE,1
626,"action me","action me",48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2579,"action medical research","action medical research",49,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"charity",TRUE,6
628,"ad-futura","ad-futura",50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
437,"adas uk","adas uk",51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
773,"adas uk ltd","adas uk ltd",52,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
2370,"addis ababa university","addis ababa university",53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
962,"addison award","addison award",54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1866,"addison studentship","addison studentship",55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,2
2920,"uclan addison studentship","addison studentship",55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,2
1442,"adecco institute","adecco institute",56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
531,"adelaide","adelaide",57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,2
2116,"advanced bionics llc","advanced bionics llc",58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3353,"advanced life support group","advanced life support group",59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3621,"advanced metallic systems cdt","advanced metallic systems cdt",60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3643,"advanced technology institute","advanced technology institute",61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1589,"advanced training","advanced training",62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2512,"advantage west midland","advantage west midland",63,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"UKGov",FALSE,10
2531,"advantage west midlands","advantage west midland",63,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"UKGov",FALSE,10
1800,"advion biosciences","advion biosciences",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
746,"ae sdn bhd","ae sdn bhd",65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
627,"aecom ltd","aecom ltd",66,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
4275,"aeronautical automotive engineering","aeronautical automotive engineering",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,4
5043,"department aeronautical automotive engineering","aeronautical automotive engineering",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,4
5063,"aeronautical automotive engineering department","aeronautical automotive engineering",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,4
3317,"aerospace civil engineering","aerospace civil engineering",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
200,"afosr","afosr",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
739,"afosreoard","afosreoard",70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2909,"africa american institute","africa american institute",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3116,"africa nazarene university","africa nazarene university",72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1915,"aga khan foundation","aga khan foundation",73,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
334,"age uk","age uk",74,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,4
5274,"agencia nacional de promoción científica y tecnológica","agencia nacional de promoción científica y tecnológica",75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1047,"agency science","agency science",76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,12
3264,"aggregate industries ltd uk","aggregate industries ltd uk",77,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
1245,"agie charmilles","agie charmilles",78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
660,"agolin sa","agolin sa",79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2249,"agriculture fisheries","agriculture fisheries",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,2
4433,"agriculture fishery development fund","agriculture fishery development fund",81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1342,"agua sustentable","agua sustentable",82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
4328,"ahrcesrc religion society programme","ahrcesrc religion society programme",83,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,2
180,"ahrq","ahrq",84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2855,"aichi steels corporation","aichi steels corporation",85,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
4963,"aids international research training program","aids international research training program",86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
309,"aiprs","aiprs",87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,2
320,"airbus","airbus",88,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,6
2061,"airbus defence space","airbus defence space",89,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
897,"airbus group","airbus group",90,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
1319,"airbus industrie","airbus industrie",91,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,7
2992,"airbus operations limited","airbus operations limited",92,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
657,"airbus uk","airbus uk",93,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
1156,"aker solutions","aker solutions",94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3170,"akwa ibom state university","akwa ibom state university",95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
596,"akzonobel","akzonobel",96,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
3624,"akzonobel decorative coatings","akzonobel decorative coatings",97,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
3286,"al-ahliyya amman university","al-ahliyya amman university",98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1643,"al-arabiya channel","al-arabiya channel",99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1947,"al-baath university","al-baath university",100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2918,"al-furat university syria","al-furat university syria",101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3862,"al-hussein bin talal university","al-hussein bin talal university",102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1636,"al-isra university","al-isra university",103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1642,"al-jazeera channel","al-jazeera channel",104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2244,"al-maktoum foundation","al-maktoum foundation",105,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
4945,"al-maktoum institute arabic islamic studies","al-maktoum institute arabic islamic studies",106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1364,"al-shura council","al-shura council",107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1865,"al-zawia university","al-zawia university",108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2251,"al al-bayt university","al al-bayt university",109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2483,"al albayiet university","al albayiet university",110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3131,"al ba’ath university syria","al ba’ath university syria",111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1107,"al tajer trust","al tajer trust",112,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
1134,"alan greenwood","alan greenwood",113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3331,"alan morement memorial fund","alan morement memorial fund",114,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
477,"alaysia","alaysia",115,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1571,"albaha university","albaha university",116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3044,"albalqa applied university","albalqa applied university",117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
641,"alcan crv","alcan crv",118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
886,"alcoa europe","alcoa europe",119,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2148,"alcon brakes limited","alcon brakes limited",120,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
2857,"aldermann ferries charity","aldermann ferries charity",121,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
3592,"alderney renewable energy ltd","alderney renewable energy ltd",122,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
1506,"aleppo university","aleppo university",123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,5
4597,"aleppo university syrian arab republic","aleppo university",123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,5
1287,"alergenetica sl","alergenetica sl",124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
4916,"alexander onassis public benefit foundation","alexander onassis public benefit foundation",125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,4
4989,"alexander s onassis public benefit foundation","alexander onassis public benefit foundation",125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,4
1781,"algerian consulate","algerian consulate",126,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1945,"algerian government","algerian government",127,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3368,"algerian petroleum institute","algerian petroleum institute",128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
4487,"allan nesta ferguson charitable trust","allan nesta ferguson charitable trust",129,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
2346,"allan nesta foundation","allan nesta foundation",130,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
857,"allergan inc","allergan inc",131,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,2
1131,"alliance boots","alliance boots",132,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
3278,"alliance self care research","alliance self care research",133,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,2
2228,"alltech biotechnology","alltech biotechnology",134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1854,"almergab university","almergab university",135,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
827,"alstom grid","alstom grid",136,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
995,"altajir trust","altajir trust",137,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
345,"altera","altera",138,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2216,"alzheimer research uk","alzheimer research uk",139,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"charity",TRUE,5
2359,"alzheimers research uk","alzheimer research uk",139,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"charity",TRUE,5
2897,"alzheimers research trust","alzheimer research uk",139,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"charity",TRUE,5
1695,"alzheimer scotland","alzheimer scotland",140,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1760,"alzheimers society","alzheimers society",141,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"charity",TRUE,2
3491,"amateur swimming association","amateur swimming association",142,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
172,"amec","amec",143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1599,"amec clean energy","amec clean energy",144,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1907,"amec foster wheeler","amec foster wheeler",145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2999,"amec power process europe","amec power process europe",146,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2929,"amelia earhart fellowship","amelia earhart fellowship",147,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
5035,"american-mideast-educational training services","american-mideast-educational training services",148,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
4370,"american association cancer research","american association cancer research",149,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
5140,"american association stratigraphic palynologists","american association stratigraphic palynologists",150,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
2618,"american college greece","american college greece",151,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
5447,"american council learned societies dissertation writing scholarship east european studies","american council learned societies dissertation writing scholarship east european studies",152,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3065,"american heart association","american heart association",153,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
4509,"american society mechanical engineers","american society mechanical engineers",154,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
3171,"american university beirut","american university beirut",155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
1243,"amherst college","amherst college",156,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
292,"amman","amman",157,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3880,"ammf cholangiocarcinoma charity","ammf cholangiocarcinoma charity",158,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
22,"amp","amp",159,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
3901,"analytical chemistry trust fund","analytical chemistry trust fund",160,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
2896,"anandhamahidol foundation","anandhamahidol foundation",161,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,1
1691,"anatomical society","anatomical society",162,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,4
4694,"anatomical society great britain ireland","anatomical society",162,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,4
1353,"anatomy genetics","anatomy genetics",163,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
2844,"andrew mellon foundation","andrew mellon foundation",164,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,2
3183,"andrew w mellon foundation","andrew mellon foundation",164,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"charity",FALSE,2
939,"angiodynamics","angiodynamics",165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,1
662,"angle plc","angle plc",166,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"business",FALSE,1
2751,"anglia ruskin university","anglia ruskin university",167,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,3
5093,"anglia ruskin university research enhanced fund","anglia ruskin university",167,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",FALSE,3
